"","Word","Count"
"281644","at the end of the",84
"703288","for the first time in",41
"402776","by the end of the",39
"705339","for the rest of the",34
"1838048","the end of the year",34
"972431","in the middle of the",32
"703307","for the first time since",30
"1011478","is going to be a",29
"1932312","there are a lot of",29
"419786","cant wait to see you",23
"1047610","its going to be a",23
"1837988","the end of the day",22
"1835494","the dow jones industrial average",21
"1987957","to be a part of",21
"1016967","is one of the most",20
"1780369","thanks for the shout out",20
"1843724","the first three months of",20
"283650","at the time of the",19
"1365198","on both sides of the",19
"499942","could not be reached for",18
"1286273","not be reached for comment",18
"257635","as a result of the",17
"1780888","thanks so much for the",17
"215829","and the rest of the",16
"1592244","said in a statement that",16
"283717","at the top of the",15
"1955179","this is going to be",15
"807314","happy mothers day to all",14
"975998","in the top of the",14
"1779202","thank you so much for",14
"283447","at the start of the",13
"433025","centers for disease control and",13
"902945","i cant wait to see",13
"970575","in the first three months",13
"976167","in the united states and",13
"976499","in the wake of the",13
"1005332","is a member of the",13
"1780196","thanks for the heads up",13
"1838005","the end of the month",13
"1989716","to be one of the",13
"691197","for disease control and prevention",12
"767878","going to be a great",12
"1376505","on the new york stock",12
"1778910","thank you for the follow",12
"1872455","the new york stock exchange",12
"1890339","the rest of the day",12
"1901311","the standard poors 500 index",12
"2001471","to find a way to",12
"2005131","to go out there and",12
"2035797","to the top of the",12
"281063","at the bottom of the",11
"281629","at the end of last",11
"814844","has nothing to do with",11
"905429","i dont want to be",11
"919218","i want to go to",11
"968029","in the back of the",11
"1268654","new york and new jersey",11
"1365751","on condition of anonymity because",11
"1422757","over the course of the",11
"1592186","said in a phone interview",11
"1955562","this is the first time",11
"1994726","to come up with a",11
"2001219","to figure out how to",11
"146748","all the way to the",10
"386334","but at the same time",10
"432257","center for the performing arts",10
"672703","first three months of the",10
"685942","for a chance to win",10
"697030","for more than a decade",10
"798374","had nothing to do with",10
"908347","i have a lot of",10
"968383","in the bottom of the",10
"970554","in the first round of",10
"1005027","is a great way to",10
"1016936","is one of the best",10
"1115925","let us know if you",10
"1326375","of new york and new",10
"1385473","one of the most important",10
"1492760","president and ceo of the",10
"1592260","said in a written statement",10
"1890303","the rest of his life",10
"1890312","the rest of my life",10
"1890388","the rest of the season",10
"1967611","three months of the year",10
"2153790","we have a lot of",10
