"","Word","Count"
"56843","members",664
"28407","director",663
"37415","fun",662
"48249","john",662
"87907","tomorrow",661
"496","11",659
"67769","players",659
"80413","small",658
"1295","15",654
"58062","minutes",654
"79796","six",654
"9929","among",653
"85321","talk",653
"81243","soon",652
"67783","playing",650
"82603","started",650
"86725","theyre",649
"96938","young",649
"83212","stop",648
"49600","kids",646
"62453","number",646
"63146","ohio",645
"11484","asked",643
"20300","change",640
"14954","bill",638
"78053","series",638
"94240","whats",638
"42137","head",636
"76418","saw",636
"69354","pretty",635
"76851","schools",635
"32993","everything",632
"9509","along",631
"94396","white",631
"60307","name",630
"42833","hey",628
"94313","whether",628
"19122","car",627
"86825","third",627
"93747","weeks",625
"22491","college",623
"59415","move",623
"64274","others",621
"41171","half",620
"44174","hours",620
"93703","wednesday",620
"52738","line",619
"78092","service",619
"93366","watch",619
"51335","late",618
"14169","believe",616
"53609","lost",616
"67764","played",616
"21772","cleveland",612
"36448","forward",608
"66668","person",607
"62192","nothing",606
"87778","together",605
"10579","anyone",602
"16165","book",602
"28142","different",602
"26528","deal",600
"49714","kind",600
"51641","lead",600
"71811","ready",600
"93316","washington",596
"93168","wanted",595
"3506","30",594
"5672","6",593
"10583","anything",593
"24389","country",593
"85042","system",593
"73219","report",592
"37349","full",591
"12288","awesome",590
"20542","check",582
"21598","class",582
"55380","market",581
"83271","story",581
"24433","course",580
"47941","jersey",580
"6182","7",579
"2331","2010",576
"47173","isnt",576
"62664","obama",575
"7593","able",573
"38863","girl",573
"93335","wasnt",570
"93391","water",570
"21913","close",569
"17817","building",567
"17194","bring",563
"62075","north",563
"58223","miss",562
"84146","summer",562
"95262","won",562
"55978","maybe",561
"76450","saying",561
"95290","wont",560
"56655","meet",559
"85281","taking",559
"46122","information",557
"93377","watching",557
"81417","south",556
"36054","following",555
"77570","seen",554
"79323","side",554
"9486","almost",553
"33703","face",553
"82728","stay",553
"6645","8",551
"95251","women",551
"34874","field",549
"85815","teams",549
"55204","march",548
"14968","billion",547
"56661","meeting",547
"32904","event",546
"8066","actually",545
"64512","outside",544
"13906","become",542
"22686","comes",542
"79042","shot",542
"94068","west",541
"35034","final",540
"75405","running",537
"40844","guy",535
"53662","louis",534
"60765","needs",532
"37038","friend",529
"14086","behind",527
"41042","haha",524
"18774","campaign",523
"81678","special",523
"91414","using",521
"25638","cut",520
"60676","near",520
"96596","yeah",520
"52209","lets",519
"69788","project",518
"63091","often",516
"39456","gonna",509
"42248","hear",509
"69580","probably",509
"165","100",508
"60696","nearly",507
"89165","true",507
"15275","black",505
"45002","idea",504
"68822","power",503
"33333","expected",502
"72252","red",501
"34329","favorite",500
"43325","history",500
"48190","jobs",499
"25800","d",498
"72167","record",498
"44995","id",497
"52885","list",495
"12152","available",493
"34042","fans",493
"67022","phone",491
"31084","education",490
"92841","w",489
"95010","wish",489
"59495","mr",487
"72040","recent",487
"17727","budget",486
"51666","league",485
"82103","spring",484
"9759","amazing",483
"67765","player",483
"23236","conference",480
"37568","future",479
"2339","2011",475
"75868","sales",475
"2349","2012",474
"22874","companies",473
"67678","plans",473
"54685","major",472
"68198","political",472
"35159","fire",469
"46461","instead",469
"78483","share",468
"2964","25",467
"39270","god",466
"20279","chance",465
"56444","mean",463
"68526","portland",462
"45536","important",461
"69594","problem",459
"66459","per",458
