"","Word","Count"
"891918","i think its a",18
"985222","is part of the",18
"1182276","months of the year",18
"1187172","more than a dozen",18
"1187217","more than a year",18
"1247074","not be reached for",18
"1336999","on top of the",18
"1342397","one of the few",18
"1729745","thanks for the retweet",18
"1778944","the day of the",18
"1797252","the head of the",18
"1797451","the heart of the",18
"1820964","the only way to",18
"1855102","the us attorneys office",18
"1857153","the wall street journal",18
"1895846","this is one of",18
"1895970","this is the first",18
"1928359","to be in a",18
"1939491","to figure out how",18
"1941830","to get rid of",18
"1942652","to go back to",18
"1951236","to make sure that",18
"2087350","we look forward to",18
"2128672","who grew up in",18
"168782","and a lot of",17
"272542","at the bottom of",17
"384139","but you have to",17
"669882","for a chance to",17
"874884","hundreds of thousands of",17
"884584","i have to go",17
"918584","in an attempt to",17
"921216","in charge of the",17
"939044","in the bay area",17
"943376","in the past year",17
"983840","is not going to",17
"1006916","it was a great",17
"1008068","it was the first",17
"1107576","looking forward to it",17
"1127469","makes me want to",17
"1406718","percent of the vote",17
"1706711","take a look at",17
"1789770","the first quarter of",17
"1790008","the first time i",17
"1859774","the winner of the",17
"1861098","the world trade center",17
"1941279","to get back to",17
"2060887","want to make sure",17
"2103856","were not going to",17
"2180702","would have to be",17
"53279","a big part of",16
"75435","a look at the",16
"93335","a spokeswoman for the",16
"207325","and thanks for the",16
"407737","cant wait to get",16
"523134","declined to comment on",16
"537135","did a great job",16
"564799","dont want to be",16
"749751","going to have a",16
"799790","have been able to",16
"836078","hes going to be",16
"862280","hope all is well",16
"879022","i can tell you",16
"881806","i feel like im",16
"889774","i really want to",16
"916708","in a phone interview",16
"942751","in the near future",16
"945637","in the way of",16
"973877","is a lot of",16
"973931","is a member of",16
"999084","it has been a",16
"1036492","just got back from",16
"1191196","most of the time",16
"1292193","of some of the",16
"1299497","of the new jersey",16
"1323396","on behalf of the",16
"1333165","on the edge of",16
"1334282","on the new york",16
"1406102","percent from the field",16
"1546137","said it was a",16
"1815344","the national weather service",16
"1935167","to deal with the",16
"1956340","to play in the",16
"2108091","what are you doing",16
"2181209","would love to have",16
"59627","a couple of weeks",15
"68826","a great deal of",15
"115432","across the street from",15
"196641","and one of the",15
"239971","are some of the",15
"254215","as long as they",15
"273083","at the expense of",15
"458461","come up with a",15
"538215","did not want to",15
"686839","for the heads up",15
"707913","from 9 am to",15
"708595","from all over the",15
"806211","have to go to",15
"809533","he and his wife",15
"815875","he said i think",15
"818841","he was going to",15
"880500","i didnt want to",15
"883485","i had no idea",15
"887767","i love you too",15
"895164","i wish i was",15
"942509","in the morning and",15
"1005325","it thanks for the",15
"1008721","it will be a",15
"1138874","martin luther king jr",15
"1234871","nice to meet you",15
"1299523","of the new york",15
"1335717","on the verge of",15
"1342450","one of the largest",15
"1545711","said in an email",15
"1662559","standard poors 500 index",15
"1728995","thank you to all",15
"1789827","the first round of",15
"1798281","the history of the",15
"1805045","the last couple of",15
"1824016","the past two years",15
"1833906","the rest of my",15
"1839390","the second time in",15
"1942937","to go out and",15
"1942946","to go out there",15
"2028657","up in the air",15
"2060380","want to be a",15
"2089950","we would love to",15
"2114979","when i was a",15
"2138550","will be in the",15
"2138801","will be on the",15
"2150807","with a lot of",15
"2185423","wrote in an email",15
"2202935","you dont want to",15
"2204952","you have a great",15
"53710","a bit of a",14
"77376","a matter of time",14
"112829","according to court documents",14
"189063","and is expected to",14
"237526","are more likely to",14
"254223","as long as you",14
"272651","at the center of",14
"420870","centers for disease control",14
"537133","did a good job",14
"555381","do you want to",14
"597080","end of the month",14
"646999","figure out how to",14
"667017","food and drug administration",14
"674815","for disease control and",14
"715134","from the university of",14
"791493","has been charged with",14
"815976","he said it was",14
"863040","hope you had a",14
"880864","i dont care what",14
"880984","i dont have a",14
"891807","i think i might",14
"916335","in a letter to",14
"916381","in a long time",14
"916618","in a news release",14
"916761","in a position to",14
"917730","in a written statement",14
"931587","in new york and",14
"941873","in the last two",14
"942060","in the living room",14
"943691","in the process of",14
"943940","in the regular season",14
"944320","in the second period",14
"944324","in the second quarter",14
"945221","in the top of",14
"945408","in the us and",14
"1007448","it was going to",14
"1007776","it was one of",14
"1034671","just a matter of",14
"1036949","just in time for",14
"1186808","more than 20 years",14
"1192770","mothers day to all",14
"1447766","president and ceo of",14
"1544181","said he did not",14
"1597940","she and her husband",14
"1726080","than a year ago",14
"1728977","thank you thank you",14
"1729504","thanks for following me",14
"1730344","thanks to everyone who",14
"1750774","that would be a",14
"1765970","the bottom line is",14
"1784613","the end of a",14
"1789445","the first half of",14
"1820784","the only one who",14
"1822214","the other side of",14
"1833901","the rest of his",14
"1844938","the state of the",14
"1874245","there are so many",14
"1895448","this is a good",14
"1929353","to be the best",14
"1933395","to come to the",14
"1939710","to find a way",14
"1949419","to learn more about",14
"1960069","to return to the",14
"1966285","to take advantage of",14
"1971542","to the top of",14
"2072186","was part of a",14
"2072193","was part of the",14
"2139156","will be the first",14
"2161454","with the exception of",14
"2181102","would like to see",14
"2201024","you can do it",14
"2204321","you going to be",14
"2210218","you so much for",14
"2212347","you want to do",14
"64460","a few of the",13
"64631","a few weeks ago",13
"75925","a lot of fun",13
"75935","a lot of good",13
"112721","according to a report",13
"113258","according to the national",13
"154713","am to 6 pm",13
"256082","as soon as possible",13
"325301","before the start of",13
"515477","day to all the",13
"553227","do not have a",13
"563098","dont have to be",13
"563462","dont know what to",13
"578220","during the regular season",13
"671880","for all of us",13
"680477","for more than two",13
"680607","for much of the",13
"707360","from 10 am to",13
"708847","from around the world",13
"749870","going to make a",13
"805855","have to be a",13
"883955","i have a lot",13
"945207","in the top 10",13
"947124","in time for the",13
"984778","is one of my",13
"1002660","it needs to be",13
"1003399","it out of the",13
"1107596","looking forward to seeing",13
"1169725","millions of dollars in",13
"1252451","not the only one",13
"1284680","of millions of dollars",13
"1303249","of the year and",13
"1305188","of thousands of dollars",13
"1333144","on the east coast",13
"1334347","on the number of",13
"1373040","out of the way",13
"1513381","rest of the day",13
"1729704","thanks for the heads",13
"1774200","the company said it",13
"1784642","the end of last",13
"1784675","the end of this",13
"1790044","the first time that",13
"1794620","the good news is",13
"1796410","the gulf of mexico",13
"1805290","the last three years",13
"1834080","the result of a",13
"1844192","the standard poors 500",13
"1857067","the wake of the",13
"1875164","there is a lot",13
"1876962","there will be no",13
"1895449","this is a great",13
"1895807","this is not a",13
"1939502","to figure out what",13
"1951055","to make it to",13
"1955582","to pay for the",13
"1964106","to some of the",13
"1966704","to talk about the",13
"1968765","to the fact that",13
"2007763","turns out to be",13
"2047768","vice president joe biden",13
"2064583","was a lot of",13
"2102671","were going to have",13
"2108045","what appeared to be",13
"2220323","youre going to have",13
"101180","a whole lot of",12
"187934","and im going to",12
"254213","as long as the",12
"267997","at his home in",12
"272489","at the beginning of",12
"273352","at the heart of",12
"274329","at the right time",12
"274359","at the rose garden",12
"377548","but i dont think",12
"392110","by the time the",12
"470290","condition of anonymity because",12
"547317","disease control and prevention",12
"564835","dont want to see",12
"680521","for most of the",12
"681524","for one of the",12
"688393","for the sake of",12
"688481","for the second straight",12
"757081","got a lot of",12
"811038","he didnt want to",12
"818503","he was able to",12
"821697","health and human services",12
"870722","how much i love",12
"881257","i dont think its",12
"884611","i have to say",12
"891899","i think it is",12
"902049","if you can get",12
"902323","if you have any",12
"902691","if you want a",12
"906408","im going to do",12
"917138","in a series of",12
"917344","in a statement released",12
"936645","in some of the",12
"941347","in the heart of",12
"942071","in the locker room",12
"942873","in the next few",12
"942966","in the ninth inning",12
"943290","in the parking lot",12
"944741","in the st louis",12
"945697","in the western conference",12
"985208","is part of a",12
"987813","is supposed to be",12
"988900","is the first time",12
"1007578","it was just a",12
"1009482","it would have been",12
"1013602","its going to take",12
"1079945","let me know what",12
"1125610","make it to the",12
"1217868","near the end of",12
"1221650","needs to be done",12
"1230334","new york stock exchange",12
"1286291","of new york and",12
"1302636","of the university of",12
"1321525","on a daily basis",12
"1326585","on his way to",12
"1335012","on the same day",12
"1335186","on the side of",12
"1335834","on the west coast",12
"1342545","one of the reasons",12
"1344379","one way or another",12
"1364397","other parts of the",12
"1379188","over the past year",12
"1392791","parts of the country",12
"1488125","really looking forward to",12
"1541589","said a lot of",12
"1545685","said in a phone",12
"1578669","securities and exchange commission",12
"1581290","see you at the",12
"1729774","thanks for the tweet",12
"1775880","the cost of the",12
"1781561","the district of columbia",12
"1786603","the fact that the",12
"1805094","the last few years",12
"1808439","the los angeles times",12
"1817058","the new york stock",12
"1817695","the next two years",12
"1854563","the united states the",12
"1885433","they were going to",12
"1905718","thought it would be",12
"1923963","to a request for",12
"1936855","to do the same",12
"1944725","to hear from you",12
"2084707","we cant wait to",12
"2086284","we have a lot",12
"2087019","we just have to",12
"2087831","we need to get",12
"2109718","what is your favorite",12
"2112456","whats going to happen",12
"2114992","when i was in",12
"2138449","will be held at",12
"2180411","would have been a",12
"2193768","years in prison for",12
"2203712","you for the follow",12
"2207923","you might want to",12
"2208944","you please follow me",12
"69629","a growing number of",11
"74664","a little more than",11
"75791","a lot more than",11
"77306","a masters degree in",11
"140487","all of a sudden",11
"197759","and out of the",11
"235947","are going to have",11
"246937","arrested and charged with",11
"287022","awkward moment when you",11
"292735","badger badger badger badger",11
"302721","be a lot of",11
"303232","be able to do",11
"303266","be able to make",11
"319445","been a long time",11
"377543","but i dont know",11
"407742","cant wait to hear",11
"432480","chief executive officer of",11
"642073","fell in love with",11
"670116","for a few days",11
"678388","for it to be",11
"734151","get out of the",11
"750328","going to try to",11
"755312","good to see you",11
"765675","great to meet you",11
"794565","has nothing to do",11
"806044","have to deal with",11
"863121","hope youre having a",11
"870006","how have you been",11
"884582","i have to get",11
"885533","i just have to",11
"888778","i need to get",11
"891794","i think i have",11
"891964","i think its time",11
"892272","i think this is",11
"894410","i was trying to",11
"902188","if you dont have",11
"902450","if you look at",11
"931377","in need of a",11
"935195","in response to the",11
"938757","in the area of",11
"939910","in the country illegally",11
"939924","in the country the",11
"940451","in the eastern conference",11
"940884","in the first inning",11
"940896","in the first period",11
"941853","in the last few",11
"973663","is a great way",11
"979828","is going to take",11
"981526","is it just me",11
"996791","it comes down to",11
"1000750","it is going to",11
"1001659","it just me or",11
"1010616","its a beautiful day",11
"1013621","its gonna be a",11
"1039657","just wanted to say",11
"1042179","keep an eye on",11
"1080251","let us know what",11
"1106241","look forward to seeing",11
"1115081","love to see you",11
"1115608","love you so much",11
"1143993","may or may not",11
"1186901","more than 30 years",11
"1187319","more than half of",11
"1187549","more than two decades",11
"1229931","new york and new",11
"1231571","news of the world",11
"1299218","of the most important",11
"1299237","of the most popular",11
"1301181","of the school year",11
"1301723","of the st louis",11
"1322097","on a regular basis",11
"1333082","on the disabled list",11
"1333626","on the heels of",11
"1342418","one of the great",11
"1405521","per share in the",11
"1448029","president george w bush",11
"1544108","said he and his",11
"1545702","said in a written",11
"1546179","said it was the",11
"1600421","she said she was",11
"1742591","that one of the",11
"1749786","that we need to",11
"1767429","the bulk of the",11
"1789317","the first day of",11
"1790112","the first two games",11
"1791428","the former massachusetts governor",11
"1793062","the game in the",11
"1795684","the green bay packers",11
"1800349","the impact of the",11
"1805189","the last of the",11
"1805296","the last time i",11
"1817225","the news of the",11
"1819874","the ohio department of",11
"1823911","the past five years",11
"1839180","the second half of",11
"1854524","the united states in",11
"1854675","the university of colorado",11
"1875452","there is no such",11
"1877571","theres going to be",11
"1907596","three months of the",11
"1925140","to all of our",11
"1927213","to be a long",11
"1927567","to be at the",11
"1932412","to check out the",11
"1933313","to come out and",11
"1949828","to life in prison",11
"1969665","to the list of",11
"1970047","to the next level",11
"1976378","to work with the",11
"2010849","two and a half",11
"2025589","until the end of",11
"2071929","was one of those",11
"2086714","we have to be",11
